,NAME,Height,Weight,REACH,Stance,DOB,SLPM,STRA,SAPM,STRD,TD,TDA,TDD,SUBA
0,Kenji Arai,"5' 10""",145 lbs.,--,Southpaw,"Oct 05, 1979",8.79,27%,10.29,39%,0,0%,0%,0
0,Marcos Bonilla,"5' 10""",145 lbs.,--,,--,0.47,12%,0.47,94%,0,0%,0%,0
0,Steve Bruno,"5' 10""",170 lbs.,--,Orthodox,"Nov 03, 1981",0.96,52%,3.38,36%,1.94,25%,46%,0.4
0,Dan Bobish,"6' 2""",345 lbs.,--,Southpaw,"Jan 26, 1970",2.06,44%,1.74,34%,2.44,42%,0%,1.6
0,Charles Bennett,"5' 8""",155 lbs.,--,Orthodox,"Nov 23, 1979",1.39,39%,1.35,64%,2.02,100%,36%,2
0,Stephen Bass,"5' 9""",145 lbs.,--,,"Nov 14, 1982",4.87,52%,5.87,55%,0,0%,0%,0
0,David Branch,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 26, 1981",1.66,40%,1.69,56%,2.17,33%,42%,0
0,Niklas Backstrom,"6' 1""",145 lbs.,"74""",Orthodox,"Aug 22, 1989",1.12,41%,3.65,40%,2.92,80%,72%,2.2
0,David Barrios,"5' 6""",145 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
0,Dominic Brown,"5' 11""",190 lbs.,--,,"Jun 04, 1982",0,0%,0,0%,0,0%,0%,0
0,Fernando Bruno,"5' 6""",145 lbs.,"70""",,"Feb 24, 1982",1.75,39%,1.78,48%,2.02,22%,56%,0.5
0,Ian Butler,"5' 8""",155 lbs.,--,,--,2.09,14%,6.69,36%,0,0%,50%,0
0,Courtney Buck,"5' 10""",135 lbs.,--,Orthodox,"Mar 19, 1982",1.49,28%,3.24,54%,0,0%,33%,0
0,Humberto Bandenay,"5' 11""",145 lbs.,--,Southpaw,"Sep 04, 1994",6.46,77%,9.23,54%,0,0%,0%,13.8
0,Karla Benitez,"5' 3""",113 lbs.,--,,--,0,0%,2.4,57%,0,0%,100%,0
0,Steve Berger,"5' 11""",170 lbs.,--,Orthodox,"May 20, 1973",1,27%,3.26,36%,0.84,40%,16%,1.7
0,Melton Bowen,"6' 0""",225 lbs.,--,Orthodox,"Jul 16, 1969",0,0%,0,0%,0,0%,0%,0
0,Derek Brunson,"6' 1""",185 lbs.,"77""",Southpaw,"Jan 04, 1984",3.16,45%,2.55,50%,2.88,32%,100%,0.6
0,Chris Barnhizer,--,--,--,,--,0,0%,0,0%,0,0%,0%,0
0,Justin Buchholz,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 22, 1983",2.35,26%,4.14,51%,0,0%,33%,0.8
0,Renan Barao,"5' 6""",135 lbs.,"70""",Orthodox,"Jan 31, 1987",3.76,35%,3.78,58%,1.39,43%,93%,0.5
0,Mirsad Bektic,"5' 8""",145 lbs.,"70""",Orthodox,"Feb 16, 1991",2.92,46%,1.42,62%,3.59,53%,100%,0.4
0,Mike Bencic,"6' 0""",215 lbs.,--,Orthodox,--,0,0%,3.32,53%,0,0%,0%,0
0,Jonathan Brookins,"6' 0""",145 lbs.,"73""",Southpaw,"Aug 13, 1985",2.69,39%,3.63,56%,1.94,17%,80%,0.3
0,Joe Brammer,"5' 8""",155 lbs.,--,Orthodox,"Aug 23, 1983",2.15,31%,2.8,56%,0.81,50%,50%,0
0,Tai Bowden,"5' 11""",230 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
0,Ryan Bader,"6' 2""",205 lbs.,"74""",Orthodox,"Jun 07, 1983",2.82,43%,1.39,71%,3.37,44%,80%,0.4
0,Martin Bravo,"5' 8""",145 lbs.,"71""",Southpaw,"Sep 21, 1993",6.04,37%,5.19,50%,2.01,33%,85%,0
0,Aaron Brink,"6' 3""",205 lbs.,--,Orthodox,"Nov 12, 1974",3.49,42%,5.71,57%,0,0%,0%,0
0,Byron Bloodworth,"5' 8""",135 lbs.,"69""",Orthodox,"Aug 16, 1983",1.82,28%,5.18,50%,0,0%,0%,0
0,Gregory Bouchelaghem,"6' 2""",183 lbs.,--,Switch,--,0.27,21%,1.53,36%,0,0%,50%,0
0,Pat Barry,"5' 11""",235 lbs.,"74""",Orthodox,"Jul 07, 1979",2.72,52%,3.54,59%,0,0%,76%,0.2
0,Henry Briones,"5' 8""",135 lbs.,"69""",,"Oct 22, 1980",3.47,42%,4.68,53%,0,0%,52%,0.6
0,Mike Brown,"5' 6""",145 lbs.,"70""",Orthodox,"Sep 08, 1975",2.98,44%,2.45,60%,3.23,40%,66%,0.6
0,Steve Byrnes,"6' 0""",170 lbs.,--,Orthodox,--,1.2,51%,2.67,27%,3,60%,0%,4
0,Stephan Bonnar,"6' 4""",205 lbs.,"78""",Orthodox,"Apr 04, 1977",2.76,38%,3.01,52%,1.32,40%,60%,1
0,Josh Bennett,"6' 4""",259 lbs.,--,Orthodox,--,2.9,40%,5.8,43%,1.5,100%,100%,0
0,Dieusel Berto,"5' 9""",200 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
0,Ryan Benoit,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 25, 1989",2.38,36%,3.2,59%,0.24,20%,62%,0.2
0,Brian Bowles,"5' 7""",135 lbs.,"70""",Orthodox,"Jun 22, 1980",2.36,26%,2.98,64%,1.39,70%,54%,1.4
0,Lee Kwan Bum,"6' 2""",286 lbs.,--,Orthodox,--,0.71,14%,0,100%,0,0%,0%,0
0,Jason Brilz,"5' 11""",205 lbs.,"71""",Orthodox,"Jul 07, 1975",2.66,40%,1.78,65%,2.37,25%,25%,1.3
0,Igor Borisov,"6' 0""",235 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
0,Vitor Belfort,"6' 0""",185 lbs.,"74""",Southpaw,"Apr 01, 1977",1.59,46%,2.83,50%,1.02,60%,53%,0.6
0,Ray Borg,"5' 4""",125 lbs.,"63""",Orthodox,"Aug 04, 1993",1.31,48%,1.92,47%,2.91,44%,39%,1.4
0,James Bochnovic,"6' 4""",205 lbs.,"81""",Orthodox,"Feb 13, 1989",0.65,26%,3.64,21%,0,0%,0%,0
0,Dennis Bryant,"6' 1""",205 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
0,Arjan Bhullar,"6' 1""",245 lbs.,"75""",Orthodox,"May 13, 1986",1.5,48%,2.05,68%,2.05,75%,0%,0
0,Shane Burgos,"5' 11""",145 lbs.,"75""",Orthodox,"Mar 19, 1991",6.49,46%,5.29,66%,0.57,100%,94%,0
0,Michael Bisping,"6' 1""",185 lbs.,"75""",Orthodox,"Feb 28, 1979",4.33,38%,2.71,65%,1.05,43%,63%,0.3
0,Dennis Bermudez,"5' 6""",145 lbs.,"66""",Orthodox,"Dec 13, 1986",4.44,45%,3.2,59%,3.8,38%,82%,1
0,Scott Baker,"6' 0""",210 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
0,Gabriel Benitez,"5' 8""",145 lbs.,"71""",Southpaw,"Jun 15, 1988",4.23,42%,2.6,73%,0.23,100%,56%,1.6
0,Brad Blackburn,"5' 10""",170 lbs.,"73""",Orthodox,"May 25, 1977",4.55,35%,3.59,65%,0.93,50%,76%,0.7
0,JP Buys,"5' 6""",125 lbs.,"66""",Orthodox,"Apr 30, 1996",2.01,42%,3.35,46%,4.02,50%,0%,0
0,DeAnna Bennett,"5' 4""",125 lbs.,"68""",,"Nov 18, 1984",3.13,58%,3.27,58%,0,0%,0%,1
0,Yohan Banks,--,--,--,,--,0,0%,0,0%,0,0%,0%,0
0,Arlene Blencowe,"5' 5""",145 lbs.,--,,"Apr 11, 1983",2.31,43%,2.1,43%,0,0%,55%,0.6
0,Jason Butcher,"6' 3""",185 lbs.,--,,"Oct 23, 1984",1.82,40%,2.73,25%,13.64,50%,0%,0
0,Jarred Brooks,"5' 3""",125 lbs.,"62""",Switch,"May 02, 1993",2.32,43%,1.9,63%,5.54,58%,66%,0.4
0,Julia Budd,"5' 7""",145 lbs.,"67""",,"Jul 04, 1983",3.4,76%,0.81,47%,2.43,62%,83%,0
0,David Bielkheden,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 06, 1979",1.11,57%,1.64,54%,2.65,63%,14%,0
0,Justin Bruckmann,"5' 9""",170 lbs.,--,Orthodox,--,0.59,66%,5.91,16%,0,0%,33%,0
0,Galore Bofando,"5' 11""",170 lbs.,"72""",Switch,"May 22, 1982",3.63,45%,3.63,54%,2.37,100%,50%,0
0,Jules Bruchez,"6' 0""",205 lbs.,--,Southpaw,"Aug 16, 1977",0.69,50%,5.52,46%,0,0%,0%,0
0,Enrique Barzola,"5' 7""",145 lbs.,"70""",,"Apr 28, 1989",3.52,43%,2.26,69%,6.17,52%,75%,0.3
0,Eduardo Bustillos,"5' 8""",135 lbs.,--,,"Jun 02, 1987",2.61,59%,6.22,35%,0,0%,100%,0
0,Francois Botha,"6' 2""",260 lbs.,--,Orthodox,"Sep 28, 1968",0,0%,1.05,77%,0,0%,0%,0
0,Bryan Baker,"6' 3""",185 lbs.,--,Orthodox,"Oct 13, 1985",1.78,52%,2.83,45%,0.44,50%,37%,0.9
0,Siyar Bahadurzada,"5' 11""",185 lbs.,"73""",Orthodox,"Apr 17, 1984",3.49,49%,2.22,52%,1.24,83%,68%,0.5
0,Ricardo Barros,"6' 1""",205 lbs.,--,,"Mar 22, 1976",0,0%,8.22,31%,0,0%,100%,0
0,Diego Brandao,"5' 7""",145 lbs.,"68""",Orthodox,"May 27, 1987",2.94,47%,3.38,62%,3.21,68%,80%,0.6
0,Drew Brokenshire,--,--,--,,--,0,0%,0,0%,0,0%,0%,0
0,Rich Bouphanouvong,"5' 7""",170 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
