,Unnamed: 0,NAME,Height,Weight,REACH,Stance,DOB,SLPM,STRA,SAPM,STRD,TD,TDA,TDD,SUBA
74,0,Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",2.32,0.45,4.01,0.56,1.07,1.0,0.33,0.4
75,0,Benny Alloway,"5' 11""",170 lbs.,"75""",Orthodox,"Feb 19, 1981",1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0
77,0,Mostapha Al-Turk,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0
78,0,Jimmy Ambriz,"6' 2""",315 lbs.,--,Southpaw,"Jan 26, 1970",0.83,0.29,3.76,0.4,3.13,0.57,1.0,0.8
79,0,Sam Alvey,"6' 2""",205 lbs.,"75""",Southpaw,"May 06, 1986",3.1,0.45,3.21,0.55,0.1,0.25,0.84,0.1
80,0,Nina Ansaroff,"5' 5""",115 lbs.,"64""",Orthodox,"Dec 03, 1985",5.22,0.48,3.77,0.53,0.51,0.4,0.73,1.0
81,0,Cesar Arzamendia,"5' 11""",155 lbs.,"71""",,"Jan 31, 1991",5.37,0.45,5.2,0.56,7.32,0.75,0.0,2.4
83,0,Luciano Azevedo,"6' 3""",161 lbs.,--,Orthodox,"Jun 25, 1981",0.76,0.45,1.97,0.27,2.28,0.11,0.0,0.0
84,0,Blas Avena,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 30, 1983",2.34,0.47,3.36,0.43,2.37,0.8,0.5,1.8
85,0,Gilbert Aldana,"6' 1""",250 lbs.,--,Orthodox,"Aug 25, 1977",2.91,0.54,6.26,0.26,2.57,0.4,0.33,0.0
86,0,Felipe Arantes,"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7
87,0,Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991",5.76,0.37,8.99,0.64,0.63,1.0,0.0,0.6
88,0,Sultan Aliev,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984",1.26,0.51,2.35,0.52,1.62,0.5,1.0,0.0
89,0,Jessica Aguilar,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",5.67,0.51,6.56,0.59,1.33,0.28,0.33,0.0
90,0,Megan Anderson,"6' 0""",145 lbs.,"73""",Orthodox,"Feb 11, 1990",1.73,0.44,3.13,0.33,0.0,0.0,0.5,0.0
91,0,Olaf Alfonso,"6' 2""",170 lbs.,--,Orthodox,"Aug 06, 1974",0.74,0.26,5.33,0.37,0.0,0.0,0.22,0.6
92,0,Chalid Arrab,"5' 11""",205 lbs.,--,Orthodox,"May 28, 1975",1.56,0.34,1.63,0.56,3.05,0.75,0.37,1.0
93,0,Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",2.12,0.33,1.78,0.57,2.21,0.57,0.66,0.8
94,0,Nick Agallar,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979",0.69,0.11,4.56,0.42,0.0,0.0,0.0,0.0
95,0,Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",4.44,0.41,4.28,0.55,3.14,0.38,0.92,0.4
96,0,Igor Araujo,"6' 1""",170 lbs.,"77""",Orthodox,"Dec 06, 1980",1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6
97,0,David Avellan,"5' 9""",185 lbs.,--,Orthodox,--,3.33,0.25,10.0,0.57,0.0,0.0,0.0,0.0
98,0,Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0
99,0,Alex Andrade,"5' 11""",200 lbs.,--,Orthodox,"May 14, 1974",0.2,0.36,2.6,0.53,0.0,0.0,0.25,0.8
100,0,Derek Anderson,"6' 0""",155 lbs.,--,,"Feb 02, 1990",3.97,0.37,3.08,0.61,0.34,0.14,0.6,0.0
101,0,Jim Alers,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3
103,0,Rich Attonito,"5' 10""",170 lbs.,"72""",Orthodox,"Jun 16, 1977",2.28,0.47,2.13,0.59,0.74,0.37,0.75,0.0
104,0,Kenneth Alexander,"5' 9""",155 lbs.,--,Orthodox,"Sep 25, 1977",0.88,0.19,2.2,0.66,4.71,0.26,0.0,0.0
105,0,Yoshihiro Akiyama,"5' 10""",170 lbs.,"73""",Orthodox,"Jul 29, 1975",3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0
107,0,Erik Apple,"6' 0""",170 lbs.,--,Orthodox,"Aug 26, 1977",0.0,0.0,0.54,0.81,0.0,0.0,0.0,8.1
108,0,Ildemar Alcantara,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9
109,0,Romie Aram,"5' 10""",170 lbs.,--,Orthodox,"Dec 02, 1977",1.8,0.35,2.83,0.5,2.5,0.62,0.83,0.0
110,0,Jessin Ayari,"6' 0""",170 lbs.,"73""",Orthodox,"May 31, 1992",3.27,0.34,2.6,0.61,0.0,0.0,0.33,0.5
111,0,Jaime Alvarez,"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988",2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0
112,0,Shinya Aoki,"5' 11""",154 lbs.,--,Southpaw,"May 09, 1983",0.97,0.58,1.25,0.58,2.54,0.41,0.6,4.0
113,0,Chris Avila,"5' 10""",145 lbs.,"72""",Orthodox,"Jan 16, 1993",2.37,0.3,4.17,0.48,0.0,0.0,0.46,0.0
114,0,Karl Amoussou,"5' 11""",185 lbs.,--,Orthodox,"Nov 21, 1985",1.47,0.34,2.67,0.54,0.0,0.0,0.25,1.0
115,0,Gilles Arsene,"5' 9""",190 lbs.,--,Southpaw,--,0.06,0.1,2.45,0.32,0.0,0.0,0.0,0.0
116,0,Hitomi Akano,"5' 4""",135 lbs.,--,Southpaw,"Jul 27, 1974",0.59,0.45,2.58,0.55,0.0,0.0,0.08,0.5
117,0,Junior Assuncao,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 24, 1981",3.31,0.62,2.06,0.44,2.43,0.24,0.66,0.7
118,0,Javy Ayala,"6' 1""",265 lbs.,--,,"Aug 20, 1988",0.83,0.25,5.0,0.33,0.0,0.0,0.0,0.0
121,0,Sean Alvarez,"6' 0""",235 lbs.,--,Orthodox,"Jul 14, 1971",0.89,0.37,3.25,0.47,0.0,0.0,0.0,0.0
122,0,Andre Amado,"6' 0""",154 lbs.,--,Orthodox,--,2.27,0.24,5.91,0.63,0.0,0.0,0.2,0.0
123,0,Marcio Alexandre Junior,"6' 0""",170 lbs.,"75""",Southpaw,"May 05, 1989",1.66,0.44,2.97,0.41,0.37,0.2,0.72,0.4
124,0,Dylan Andrews,"6' 1""",185 lbs.,"73""",Switch,"Nov 15, 1979",2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4
125,0,Hector Aldana,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",4.0,0.43,3.28,0.54,3.08,1.0,0.0,0.0
126,0,JJ Aldrich,"5' 5""",115 lbs.,"67""",Southpaw,"Sep 29, 1992",4.07,0.38,4.13,0.63,0.33,0.2,0.42,0.0
127,0,Danny Abbadi,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983",3.29,0.38,4.41,0.57,0.0,0.0,0.77,0.0
128,0,Cyril Asker,"6' 0""",247 lbs.,"74""",Orthodox,"Dec 24, 1985",3.35,0.39,5.82,0.35,4.41,0.62,1.0,0.9
129,0,Angelo Antonio,--,205 lbs.,--,Orthodox,--,1.09,0.5,7.64,0.5,0.0,0.0,0.0,0.0
130,0,Junior Albini,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",4.03,0.5,6.17,0.53,0.77,0.5,1.0,0.0
131,0,Omari Akhmedov,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",3.01,0.33,2.91,0.57,2.89,0.51,0.53,0.3
135,0,Reese Andy,"6' 0""",205 lbs.,--,Orthodox,"Mar 31, 1973",2.87,0.5,3.5,0.58,0.67,0.2,0.4,0.0
137,0,Kenji Arai,"5' 10""",145 lbs.,--,Southpaw,"Oct 05, 1979",8.79,0.27,10.29,0.39,0.0,0.0,0.0,0.0
138,0,Marcos Bonilla,"5' 10""",145 lbs.,--,,--,0.47,0.12,0.47,0.94,0.0,0.0,0.0,0.0
139,0,Steve Bruno,"5' 10""",170 lbs.,--,Orthodox,"Nov 03, 1981",0.96,0.52,3.38,0.36,1.94,0.25,0.46,0.4
140,0,Dan Bobish,"6' 2""",345 lbs.,--,Southpaw,"Jan 26, 1970",2.06,0.44,1.74,0.34,2.44,0.42,0.0,1.6
141,0,Charles Bennett,"5' 8""",155 lbs.,--,Orthodox,"Nov 23, 1979",1.39,0.39,1.35,0.64,2.02,1.0,0.36,2.0
142,0,Stephen Bass,"5' 9""",145 lbs.,--,,"Nov 14, 1982",4.87,0.52,5.87,0.55,0.0,0.0,0.0,0.0
143,0,David Branch,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 26, 1981",1.66,0.4,1.69,0.56,2.17,0.33,0.42,0.0
144,0,Niklas Backstrom,"6' 1""",145 lbs.,"74""",Orthodox,"Aug 22, 1989",1.12,0.41,3.65,0.4,2.92,0.8,0.72,2.2
147,0,Fernando Bruno,"5' 6""",145 lbs.,"70""",,"Feb 24, 1982",1.75,0.39,1.78,0.48,2.02,0.22,0.56,0.5
148,0,Ian Butler,"5' 8""",155 lbs.,--,,--,2.09,0.14,6.69,0.36,0.0,0.0,0.5,0.0
149,0,Courtney Buck,"5' 10""",135 lbs.,--,Orthodox,"Mar 19, 1982",1.49,0.28,3.24,0.54,0.0,0.0,0.33,0.0
150,0,Humberto Bandenay,"5' 11""",145 lbs.,--,Southpaw,"Sep 04, 1994",6.46,0.77,9.23,0.54,0.0,0.0,0.0,13.8
151,0,Karla Benitez,"5' 3""",113 lbs.,--,,--,0.0,0.0,2.4,0.57,0.0,0.0,1.0,0.0
152,0,Steve Berger,"5' 11""",170 lbs.,--,Orthodox,"May 20, 1973",1.0,0.27,3.26,0.36,0.84,0.4,0.16,1.7
154,0,Derek Brunson,"6' 1""",185 lbs.,"77""",Southpaw,"Jan 04, 1984",3.16,0.45,2.55,0.5,2.88,0.32,1.0,0.6
156,0,Justin Buchholz,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 22, 1983",2.35,0.26,4.14,0.51,0.0,0.0,0.33,0.8
157,0,Renan Barao,"5' 6""",135 lbs.,"70""",Orthodox,"Jan 31, 1987",3.76,0.35,3.78,0.58,1.39,0.43,0.93,0.5
158,0,Mirsad Bektic,"5' 8""",145 lbs.,"70""",Orthodox,"Feb 16, 1991",2.92,0.46,1.42,0.62,3.59,0.53,1.0,0.4
159,0,Mike Bencic,"6' 0""",215 lbs.,--,Orthodox,--,0.0,0.0,3.32,0.53,0.0,0.0,0.0,0.0
160,0,Jonathan Brookins,"6' 0""",145 lbs.,"73""",Southpaw,"Aug 13, 1985",2.69,0.39,3.63,0.56,1.94,0.17,0.8,0.3
161,0,Joe Brammer,"5' 8""",155 lbs.,--,Orthodox,"Aug 23, 1983",2.15,0.31,2.8,0.56,0.81,0.5,0.5,0.0
163,0,Ryan Bader,"6' 2""",205 lbs.,"74""",Orthodox,"Jun 07, 1983",2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4
164,0,Martin Bravo,"5' 8""",145 lbs.,"71""",Southpaw,"Sep 21, 1993",6.04,0.37,5.19,0.5,2.01,0.33,0.85,0.0
165,0,Aaron Brink,"6' 3""",205 lbs.,--,Orthodox,"Nov 12, 1974",3.49,0.42,5.71,0.57,0.0,0.0,0.0,0.0
166,0,Byron Bloodworth,"5' 8""",135 lbs.,"69""",Orthodox,"Aug 16, 1983",1.82,0.28,5.18,0.5,0.0,0.0,0.0,0.0
167,0,Gregory Bouchelaghem,"6' 2""",183 lbs.,--,Switch,--,0.27,0.21,1.53,0.36,0.0,0.0,0.5,0.0
168,0,Pat Barry,"5' 11""",235 lbs.,"74""",Orthodox,"Jul 07, 1979",2.72,0.52,3.54,0.59,0.0,0.0,0.76,0.2
169,0,Henry Briones,"5' 8""",135 lbs.,"69""",,"Oct 22, 1980",3.47,0.42,4.68,0.53,0.0,0.0,0.52,0.6
170,0,Mike Brown,"5' 6""",145 lbs.,"70""",Orthodox,"Sep 08, 1975",2.98,0.44,2.45,0.6,3.23,0.4,0.66,0.6
171,0,Steve Byrnes,"6' 0""",170 lbs.,--,Orthodox,--,1.2,0.51,2.67,0.27,3.0,0.6,0.0,4.0
172,0,Stephan Bonnar,"6' 4""",205 lbs.,"78""",Orthodox,"Apr 04, 1977",2.76,0.38,3.01,0.52,1.32,0.4,0.6,1.0
173,0,Josh Bennett,"6' 4""",259 lbs.,--,Orthodox,--,2.9,0.4,5.8,0.43,1.5,1.0,1.0,0.0
175,0,Ryan Benoit,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 25, 1989",2.38,0.36,3.2,0.59,0.24,0.2,0.62,0.2
176,0,Brian Bowles,"5' 7""",135 lbs.,"70""",Orthodox,"Jun 22, 1980",2.36,0.26,2.98,0.64,1.39,0.7,0.54,1.4
177,0,Lee Kwan Bum,"6' 2""",286 lbs.,--,Orthodox,--,0.71,0.14,0.0,1.0,0.0,0.0,0.0,0.0
178,0,Jason Brilz,"5' 11""",205 lbs.,"71""",Orthodox,"Jul 07, 1975",2.66,0.4,1.78,0.65,2.37,0.25,0.25,1.3
180,0,Vitor Belfort,"6' 0""",185 lbs.,"74""",Southpaw,"Apr 01, 1977",1.59,0.46,2.83,0.5,1.02,0.6,0.53,0.6
181,0,Ray Borg,"5' 4""",125 lbs.,"63""",Orthodox,"Aug 04, 1993",1.31,0.48,1.92,0.47,2.91,0.44,0.39,1.4
182,0,James Bochnovic,"6' 4""",205 lbs.,"81""",Orthodox,"Feb 13, 1989",0.65,0.26,3.64,0.21,0.0,0.0,0.0,0.0
184,0,Arjan Bhullar,"6' 1""",245 lbs.,"75""",Orthodox,"May 13, 1986",1.5,0.48,2.05,0.68,2.05,0.75,0.0,0.0
185,0,Shane Burgos,"5' 11""",145 lbs.,"75""",Orthodox,"Mar 19, 1991",6.49,0.46,5.29,0.66,0.57,1.0,0.94,0.0
186,0,Michael Bisping,"6' 1""",185 lbs.,"75""",Orthodox,"Feb 28, 1979",4.33,0.38,2.71,0.65,1.05,0.43,0.63,0.3
187,0,Dennis Bermudez,"5' 6""",145 lbs.,"66""",Orthodox,"Dec 13, 1986",4.44,0.45,3.2,0.59,3.8,0.38,0.82,1.0
189,0,Gabriel Benitez,"5' 8""",145 lbs.,"71""",Southpaw,"Jun 15, 1988",4.23,0.42,2.6,0.73,0.23,1.0,0.56,1.6
190,0,Brad Blackburn,"5' 10""",170 lbs.,"73""",Orthodox,"May 25, 1977",4.55,0.35,3.59,0.65,0.93,0.5,0.76,0.7
191,0,JP Buys,"5' 6""",125 lbs.,"66""",Orthodox,"Apr 30, 1996",2.01,0.42,3.35,0.46,4.02,0.5,0.0,0.0
192,0,DeAnna Bennett,"5' 4""",125 lbs.,"68""",,"Nov 18, 1984",3.13,0.58,3.27,0.58,0.0,0.0,0.0,1.0
194,0,Arlene Blencowe,"5' 5""",145 lbs.,--,,"Apr 11, 1983",2.31,0.43,2.1,0.43,0.0,0.0,0.55,0.6
195,0,Jason Butcher,"6' 3""",185 lbs.,--,,"Oct 23, 1984",1.82,0.4,2.73,0.25,13.64,0.5,0.0,0.0
196,0,Jarred Brooks,"5' 3""",125 lbs.,"62""",Switch,"May 02, 1993",2.32,0.43,1.9,0.63,5.54,0.58,0.66,0.4
197,0,Julia Budd,"5' 7""",145 lbs.,"67""",,"Jul 04, 1983",3.4,0.76,0.81,0.47,2.43,0.62,0.83,0.0
198,0,David Bielkheden,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 06, 1979",1.11,0.57,1.64,0.54,2.65,0.63,0.14,0.0
199,0,Justin Bruckmann,"5' 9""",170 lbs.,--,Orthodox,--,0.59,0.66,5.91,0.16,0.0,0.0,0.33,0.0
200,0,Galore Bofando,"5' 11""",170 lbs.,"72""",Switch,"May 22, 1982",3.63,0.45,3.63,0.54,2.37,1.0,0.5,0.0
201,0,Jules Bruchez,"6' 0""",205 lbs.,--,Southpaw,"Aug 16, 1977",0.69,0.5,5.52,0.46,0.0,0.0,0.0,0.0
202,0,Enrique Barzola,"5' 7""",145 lbs.,"70""",,"Apr 28, 1989",3.52,0.43,2.26,0.69,6.17,0.52,0.75,0.3
203,0,Eduardo Bustillos,"5' 8""",135 lbs.,--,,"Jun 02, 1987",2.61,0.59,6.22,0.35,0.0,0.0,1.0,0.0
204,0,Francois Botha,"6' 2""",260 lbs.,--,Orthodox,"Sep 28, 1968",0.0,0.0,1.05,0.77,0.0,0.0,0.0,0.0
205,0,Bryan Baker,"6' 3""",185 lbs.,--,Orthodox,"Oct 13, 1985",1.78,0.52,2.83,0.45,0.44,0.5,0.37,0.9
206,0,Siyar Bahadurzada,"5' 11""",185 lbs.,"73""",Orthodox,"Apr 17, 1984",3.49,0.49,2.22,0.52,1.24,0.83,0.68,0.5
207,0,Ricardo Barros,"6' 1""",205 lbs.,--,,"Mar 22, 1976",0.0,0.0,8.22,0.31,0.0,0.0,1.0,0.0
208,0,Diego Brandao,"5' 7""",145 lbs.,"68""",Orthodox,"May 27, 1987",2.94,0.47,3.38,0.62,3.21,0.68,0.8,0.6
211,0,Antwain Britt,"6' 1""",205 lbs.,"77""",,"May 09, 1978",1.46,0.39,2.81,0.44,1.56,0.4,0.5,0.0
213,0,Josh Barnett,"6' 3""",250 lbs.,"78""",Orthodox,"Nov 10, 1977",3.2,0.5,2.11,0.57,1.26,0.55,0.55,1.4
214,0,Will Brooks,"5' 10""",155 lbs.,"72""",Orthodox,"Oct 08, 1986",4.26,0.59,2.54,0.56,2.08,0.51,0.82,0.3
216,0,Bubba Bush,"6' 0""",185 lbs.,"73""",Orthodox,"Jul 24, 1985",0.63,0.55,7.01,0.25,2.82,0.5,0.6,0.0
220,0,Marco Beltran,"5' 8""",125 lbs.,"69""",Orthodox,"May 18, 1986",2.07,0.37,1.93,0.63,0.7,0.5,0.46,0.2
221,0,Nick Barnes,"5' 11""",170 lbs.,--,,--,2.86,0.29,8.93,0.51,5.36,1.0,1.0,5.4
222,0,Charlie Brenneman,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 09, 1981",1.52,0.56,1.55,0.46,4.23,0.42,0.72,0.0
223,0,Tom Blackledge,--,205 lbs.,--,,--,2.91,0.61,2.55,0.46,0.0,0.0,0.75,0.0
224,0,Allen Berube,"5' 8""",155 lbs.,--,Orthodox,"Aug 25, 1974",0.92,0.8,0.92,0.33,6.87,1.0,0.0,3.4
226,0,Jordan Bailey,"5' 9""",145 lbs.,--,,--,1.74,0.4,0.29,0.0,4.35,1.0,0.0,4.3
